Question_ID,Axis,Question_Text,Option_A,Pole_A,Option_B,Pole_B,Option_C,Pole_C,Option_D,Pole_D
Q01,E_I,周末傍晚，如果你在月亮湾看到有人在举办草坪音乐会，你会：,兴致勃勃地加入外围人群，甚至想跟着旋律轻轻打拍子,E,远远看一眼，觉得画面很美，但还是按照原计划去往更安静的地方,I,拿出手机记录这瞬间，发给好友感慨一下校园的青春氛围,E,这种热闹属于别人，我只想快点回宿舍,I
Q02,E_I,在“百团大战”社团招新现场，你的常态通常是：,哪里热闹去哪里，每个感兴趣的摊位都想聊两句,E,提前看好路线，直奔心仪的目标，领完传单就走,I,被那种热火朝天的氛围感染，即使不加社团也觉得心情愉悦,E,尽量绕开人群密集区，觉得那种高分贝环境有点消耗精力,I
Q03,E_I,关于去学则路夜市吃宵夜，你更喜欢：,宿舍全体出动，大家在摊位前热热闹闹地讨论吃什么,E,只约上一两个最好的朋友，边走边聊一些深层次的话题,I,自己一个人去，享受那种在人海中寻找美食的“孤独感”,I,如果可以，宁愿让室友帮带回来，在寝室里安稳地享受,I
Q04,E_I,当你行走在随园校区幽静的回廊间，你最享受：,偶尔遇到熟悉的同学打个招呼，交流一下近况,E,这种与世隔绝的清静，能让自己大脑彻底放空,I,思考这里的建筑布局和历史细节，并沉浸其中,I,快速走过，思考待会儿要去办的具体事务,I
Q05,E_I,在敬文广场等人时，如果有陌生同学向你寻求指路帮助：,不仅详细指路，甚至愿意走一段路带 TA 过去,E,礼貌清晰地指明方向，确定对方听懂后便重新回到自己的状态,I,有点局促，指个大概方向后赶紧结束这段临时的社交,I,拿出手机帮对方查地图，用最精准的方式解决 TA 的问题,I
Q06,E_I,关于校园生活的“吐槽”或心得，你更倾向于：,在朋友圈或者小红书公开分享，和校友们互动,E,只在自己的小群或私密日记里表达最真实的感受,I,默默点赞别人的动态，觉得自己被“嘴替”了就好,I,完全不参与，觉得生活是自己的，没必要向外界展示,I
Q07,S_N,站在逐日塔下仰望，你最先产生的是：,这个塔的物理结构挺有意思，想知道它的具体建造高度,S,一种宏大的意境，觉得它像是一个注视着南师变迁的智者,N,它的光影非常适合拍一组艺术照,S,这种地标对校园导航系统的重要性,N
Q08,S_N,当你描述随园 100 号楼时，你更容易关注：,它具体的红墙纹理、窗框的比例和修缮的细节,S,它散发出的那种优雅、厚重的人文精神气质,N,在百年前这里曾经发生过的多少故事,N,它目前作为功能性空间的使用效率,S
Q09,S_N,当你恰好经过起霞坡的时候，你的第一反应是：,“又是这个坡！”：在无形中产生出对校园地形最直观、最深刻的实感,S,沉浸电影感：感叹这里是全南师最适合与好友共赏落日、野餐晒太阳的圣地，自动匹配 BGM,N,寻觅“校宠”：眼神自动锁定大傻鹅的出没地，试图开启一场充满童趣的校园偶遇,N,释放本能：被柔软斜坡激发出瞬间的“出格”念头，想干脆躺下体验 321 滚动下坡的纯粹快乐,S
Q10,S_N,在德风园背书或休息时，你会注意到：,每一个石凳的分布位置，以及最适合避风的角落,S,那种肃穆的学术氛围，以及历代先贤留下的精神压力,N,阳光透过树叶洒在孔子像上的光影变化,S,这里非常适合开展小组头脑风暴，是个绝佳的思维碰撞场,N
