ID,Name,URL,Personality
1,Peppa Pig,https://peppapig.fandom.com/wiki/Peppa_Pig_(character),"A loud and energetic pig who is easily excited, curious, and playful. At times Peppa can be forgetful and bossy, and she can be rude and stubborn if she doesn't know any better, but she will apologize if she realizes she did something wrong. She has a temper at times, which usually only comes out if she fails at something or gets really annoyed with George."
2,Alexander Pig,https://peppapig.fandom.com/wiki/Baby_Alexander_(character),"As he is only a baby, Baby Alexander doesn't have much of a personality. In the episode ""The Noisy Night"", it is shown that he loves noise and it is generally the thing that puts him to sleep. Because of this, he is not like other babies who do not like noisy things. However, in the episode “Staying Up Late”, Auntie Pig shushes Peppa and Chloe and says, “Baby Alexander is asleep. We don’t want to wake him.” So, that noisy thing might’ve just been for that one episode."
3,Auntie Dottie,https://peppapig.fandom.com/wiki/Auntie_Dottie,"Auntie Dottie is sweet and caring, as seen in Horsey Twinkle Toes, when she sent a gift from far away to Peppa and George. She is also cheerful and kind, as seen in Thanksgiving, when she traveled a long way just to see her family and reunite with her niece and nephew. Despite being a good person, she is also a procrastinator because she waited until the last minute to tell Mummy Pig that she was taking a taxi to her house moments before showing up."
4,Tooth Fairy,https://peppapig.fandom.com/wiki/Tooth_Fairy,No description available
5,Rebecca Rabbit,https://peppapig.fandom.com/wiki/Rebecca_Rabbit_(character),"Rebecca is a bubbly and energetic rabbit. She likes spending time with Peppa and her friends and enjoys swimming, dancing, and playing dress-up. In Not Very Well, she, Suzy, and Danny come to visit Peppa when she is ill, and in Foggy Day, she rides the swing with Peppa at the playground. Despite being outgoing, Rebecca is also shy in some instances. In Fancy Dress Party, when Peppa awards her costume as the best, her face turns red. In School Play, when she blushes when she says her line while practicing, and many times, turns red in the face, whenever carrots are mentioned. Rebecca can also be a bit mean sometimes, as seen in Ice Skating, when she and the rest of her friends laugh at Peppa when she slips on the ice, and in George's Friend, she gets mad at Peppa for George knocking over Richard's sandcastle. She is good at trilling her lips, and uses it as her talent in Talent Day. She is good at sports, as seen in Gym Class and Miss Rabbit's Relaxation Class, and she won a trophy for winning a running race in Sports Day. This can infer that Rebecca is good at sports, and she may participate in sports programs or attend classes."
6,Richard Rabbit,https://peppapig.fandom.com/wiki/Richard_Rabbit,"Richard Rabbit acts like the other toddlers in the series. He is often seen with his best friend George and their other toddler friends, as well as the group. Richard has a stuffed toy dinosaur just like George, but it is red instead of green."
7,Grandpa Pig,https://peppapig.fandom.com/wiki/Grandpa_Pig,"Grandpa Pig is rather seen often as a showcaser or tutorialist, and he has a huge hatred towards animals eating his seeds and/or vegetables. He also doesn't like other stuff like gnomes, broken computers, etcetera, and he can be often disappointed at his failed attempts. Other than that, he's positive towards his grandkids."
8,Mummy Pig,https://peppapig.fandom.com/wiki/Mummy_Pig,"Mummy Pig is a kind and responsible adult, who is more proactive and wittier than Daddy Pig. Being a more mature adult, she often tries to warn Daddy Pig when he may be doing something he shouldn't be. She is street-smart, as seen in Fun Fair, when she breaks a strength record in anger of Mr. Bull for calling Daddy Pig ""round in the tummy."" She enjoys drinking tea, dancing, and relaxing with her friends. Despite being a good person, she can also be a bit instinctive and thoughtless, such as when she simply just laughed at Peppa and Suzy when they had a fight instead of asking them what happened. She can also be a bit uncontrollable, as seen in Trampolines, when she bounced into a tree due to not being aware of her surroundings. She is afraid of spiders, as revealed in Mister Skinnylegs."
9,George Pig,https://peppapig.fandom.com/wiki/George_Pig,"As noted above, George is a kind, gentle pig who is always keen to look up to his older sister to grow up big and strong like she does. While Peppa can be a bit mean and bossy towards him (such as leaving him out of games), she still loves him all the same, and is always happy to help him whenever something goes wrong."
10,Evie Pig,https://peppapig.fandom.com/wiki/Evie_Pig,"Being a baby, Evie doesn't have much of a personality, but she is shown to be quite a happy girl. Like all babies, she cries when she needs something and doesn't speak."
